Student_ID,Age,Gender,Math_Marks,Science_Marks,English_Marks,Attendance_Percent,Study_Hours
49,18,F,69.0,46.0,89.0,73.0,2.7
50,20,M,,86.0,91.0,85.0,4.7
51,22,F,85.0,,65.0,86.0,0.6
52,20,M,,57.0,60.0,68.0,3.8
53,24,F,45.0,65.0,65.0,85.0,3.6
54,22,F,74.0,57.0,55.0,81.0,4.4
55,18,F,99.0,,81.0,89.0,3.8
56,24,F,80.0,43.0,80.0,76.0,5.0
57,19,M,76.0,90.0,,85.0,5.8
58,21,F,63.0,69.0,63.0,,
59,18,M,68.0,73.0,64.0,60.0,1.8
60,21,M,88.0,68.0,62.0,67.0,2.8
61,23,M,85.0,61.0,91.0,94.0,
62,19,M,92.0,65.0,85.0,74.0,3.9
63,19,F,70.0,53.0,93.0,81.0,
64,18,M,74.0,91.0,58.0,73.0,1.3
65,19,M,99.0,,59.0,85.0,1.1
66,22,M,72.0,74.0,75.0,87.0,1.9
67,19,F,,74.0,45.0,82.0,4.5
68,21,F,60.0,92.0,47.0,73.0,3.8
69,21,F,71.0,84.0,60.0,83.0,1.1
70,24,F,62.0,78.0,67.0,61.0,5.6
71,21,M,72.0,53.0,55.0,,4.8
72,24,M,42.0,44.0,56.0,,0.6
73,21,F,57.0,42.0,54.0,,4.1
74,22,M,64.0,74.0,76.0,62.0,4.7
75,24,M,81.0,,60.0,82.0,2.6
76,20,M,70.0,51.0,52.0,77.0,0.9
77,23,F,93.0,84.0,82.0,97.0,0.9
78,18,F,97.0,85.0,56.0,94.0,1.1
79,21,M,,70.0,68.0,74.0,5.1
80,19,F,79.0,54.0,72.0,84.0,5.5
81,21,F,85.0,53.0,52.0,96.0,1.2
82,19,F,63.0,72.0,72.0,87.0,
83,23,F,89.0,87.0,80.0,69.0,1.4
84,23,F,71.0,43.0,70.0,98.0,1.5
85,23,M,86.0,92.0,,76.0,5.1
86,19,F,61.0,91.0,94.0,98.0,2.3
87,21,M,62.0,76.0,72.0,81.0,2.2
88,23,M,41.0,64.0,72.0,85.0,1.8
89,22,F,66.0,58.0,81.0,84.0,3.8
90,24,M,81.0,67.0,85.0,,2.6
91,19,M,,49.0,80.0,72.0,4.6
92,19,M,65.0,70.0,71.0,79.0,1.6
93,21,F,56.0,67.0,61.0,84.0,4.8
94,19,F,79.0,,53.0,63.0,3.8
95,19,M,72.0,67.0,77.0,69.0,1.1
96,23,F,48.0,75.0,64.0,62.0,2.8
97,21,F,82.0,92.0,57.0,77.0,5.2
98,23,F,93.0,82.0,,95.0,5.6
99,24,F,87.0,48.0,92.0,81.0,3.1
100,24,M,78.0,45.0,,93.0,3.1
101,23,M,68.0,94.0,57.0,67.0,5.6
102,24,F,81.0,91.0,90.0,99.0,3.7
103,21,F,94.0,86.0,79.0,78.0,0.7
104,18,M,65.0,52.0,,96.0,5.5
105,23,M,74.0,70.0,62.0,65.0,1.9
106,22,F,89.0,97.0,49.0,85.0,3.7
107,22,M,64.0,77.0,91.0,93.0,1.4
108,19,F,63.0,66.0,,65.0,0.7
109,24,F,52.0,62.0,46.0,96.0,2.2
110,22,M,99.0,77.0,54.0,92.0,
111,19,M,97.0,,74.0,81.0,2.0
112,18,F,46.0,78.0,94.0,80.0,1.7
113,21,F,96.0,50.0,89.0,65.0,1.7
114,21,M,75.0,65.0,49.0,65.0,3.3
115,21,F,84.0,76.0,,63.0,5.9
116,22,M,,90.0,45.0,89.0,3.0
117,18,F,40.0,76.0,62.0,70.0,3.6
118,22,M,47.0,89.0,76.0,89.0,5.2
119,24,M,85.0,77.0,91.0,90.0,3.4
120,22,M,55.0,59.0,93.0,83.0,1.5
121,18,F,53.0,90.0,55.0,68.0,2.1
122,18,F,51.0,80.0,65.0,62.0,2.2
123,24,M,,73.0,70.0,90.0,2.7
124,18,F,62.0,65.0,69.0,,2.8
125,18,M,54.0,64.0,66.0,96.0,4.9
126,21,M,67.0,73.0,71.0,95.0,2.4
127,24,F,73.0,78.0,93.0,83.0,3.1
128,20,F,41.0,53.0,57.0,90.0,3.9
129,20,M,71.0,90.0,77.0,65.0,2.6
130,18,F,62.0,96.0,78.0,61.0,
131,20,F,61.0,54.0,85.0,79.0,3.7
132,20,M,90.0,64.0,79.0,87.0,2.1
133,18,M,64.0,66.0,45.0,70.0,4.4
134,20,F,97.0,76.0,65.0,,3.4
135,22,M,61.0,,92.0,74.0,3.4
136,19,M,97.0,,50.0,65.0,3.1
137,24,F,97.0,58.0,72.0,89.0,3.2
138,19,M,61.0,90.0,61.0,,4.7
139,18,M,,61.0,49.0,61.0,1.1
140,21,F,91.0,89.0,75.0,74.0,2.3
141,24,F,81.0,,49.0,70.0,0.9
142,18,M,45.0,63.0,82.0,67.0,4.6
143,21,M,54.0,54.0,47.0,85.0,2.0
144,19,F,,60.0,67.0,64.0,5.4
145,18,F,82.0,90.0,81.0,65.0,3.4
146,24,F,99.0,77.0,81.0,85.0,4.9
147,24,F,,53.0,54.0,63.0,
148,23,M,72.0,82.0,,78.0,5.1
149,22,F,47.0,60.0,63.0,79.0,
150,20,F,92.0,53.0,61.0,92.0,2.7
151,21,M,99.0,50.0,,79.0,3.5
152,23,F,83.0,,58.0,71.0,1.9
153,20,M,83.0,69.0,53.0,,1.6
154,20,F,44.0,55.0,,85.0,3.3
155,18,F,78.0,72.0,45.0,73.0,3.8
156,20,F,43.0,93.0,89.0,97.0,2.4
157,22,M,45.0,60.0,57.0,96.0,3.6
158,24,M,84.0,88.0,48.0,70.0,5.4
159,23,F,,57.0,45.0,95.0,3.6
160,20,M,,94.0,93.0,72.0,4.5
161,18,M,69.0,46.0,84.0,62.0,4.9
162,22,M,86.0,76.0,76.0,92.0,5.9
163,19,M,74.0,53.0,78.0,65.0,3.8
164,24,M,94.0,66.0,72.0,69.0,4.9
165,24,M,79.0,93.0,75.0,64.0,5.8
166,23,F,91.0,62.0,52.0,82.0,5.7
167,24,F,55.0,77.0,83.0,69.0,1.3
168,20,M,52.0,94.0,70.0,61.0,2.7
169,18,F,89.0,64.0,78.0,72.0,2.3
170,24,F,99.0,57.0,47.0,99.0,1.0
171,24,F,81.0,80.0,94.0,61.0,4.0
172,19,F,69.0,86.0,56.0,79.0,4.5
173,19,M,58.0,94.0,45.0,60.0,5.2
174,21,F,56.0,83.0,88.0,96.0,1.2
175,22,F,95.0,80.0,49.0,68.0,5.3
176,20,M,58.0,55.0,74.0,76.0,4.0
177,24,M,67.0,72.0,,,4.4
178,24,F,97.0,46.0,61.0,,5.5
179,18,F,,76.0,92.0,74.0,3.9
180,21,F,65.0,,91.0,83.0,2.3
181,22,F,76.0,70.0,,97.0,5.0
182,21,F,65.0,84.0,59.0,94.0,
183,23,F,92.0,52.0,81.0,89.0,0.7
184,22,M,62.0,59.0,65.0,90.0,5.1
185,24,F,48.0,88.0,58.0,64.0,
186,24,F,51.0,53.0,46.0,73.0,4.8
187,22,M,92.0,50.0,55.0,70.0,2.5
188,24,M,40.0,51.0,83.0,68.0,5.2
189,20,M,97.0,85.0,82.0,93.0,1.7
190,22,M,97.0,58.0,78.0,71.0,5.9
191,21,F,40.0,,82.0,94.0,4.8
192,22,F,86.0,48.0,94.0,94.0,1.1
193,24,F,73.0,87.0,78.0,60.0,3.6
194,20,F,71.0,54.0,62.0,99.0,5.9
195,20,F,93.0,81.0,74.0,81.0,3.1
196,23,F,87.0,83.0,59.0,,1.5
197,21,M,64.0,50.0,71.0,67.0,3.2
198,19,F,79.0,91.0,78.0,70.0,3.3
199,19,M,84.0,68.0,,96.0,4.6
200,22,M,92.0,43.0,77.0,73.0,4.3
