Student_ID,Age,Gender,Math_Marks,Science_Marks,English_Marks,Attendance_Percent,Study_Hours,Average_Marks
76,20,M,70.0,51.0,52.0,77.0,0.9,57.67
77,23,F,93.0,84.0,82.0,97.0,0.9,86.33
78,18,F,97.0,85.0,56.0,94.0,1.1,79.33
79,21,M,0.0,70.0,68.0,74.0,5.1,46.0
80,19,F,79.0,54.0,72.0,84.0,5.5,68.33
81,21,F,85.0,53.0,52.0,96.0,1.2,63.33
82,19,F,63.0,72.0,72.0,87.0,3.35,69.0
83,23,F,89.0,87.0,80.0,69.0,1.4,85.33
84,23,F,71.0,43.0,70.0,98.0,1.5,61.33
85,23,M,86.0,92.0,0.0,76.0,5.1,59.33
86,19,F,61.0,91.0,94.0,98.0,2.3,82.0
87,21,M,62.0,76.0,72.0,81.0,2.2,70.0
88,23,M,41.0,64.0,72.0,85.0,1.8,59.0
89,22,F,66.0,58.0,81.0,84.0,3.8,68.33
90,24,M,81.0,67.0,85.0,78.27,2.6,77.67
91,19,M,0.0,49.0,80.0,72.0,4.6,43.0
92,19,M,65.0,70.0,71.0,79.0,1.6,68.67
93,21,F,56.0,67.0,61.0,84.0,4.8,61.33
94,19,F,79.0,0.0,53.0,63.0,3.8,44.0
95,19,M,72.0,67.0,77.0,69.0,1.1,72.0
96,23,F,48.0,75.0,64.0,62.0,2.8,62.33
97,21,F,82.0,92.0,57.0,77.0,5.2,77.0
98,23,F,93.0,82.0,0.0,95.0,5.6,58.33
99,24,F,87.0,48.0,92.0,81.0,3.1,75.67
100,24,M,78.0,45.0,0.0,93.0,3.1,41.0
101,23,M,68.0,94.0,57.0,67.0,5.6,73.0
102,24,F,81.0,91.0,90.0,99.0,3.7,87.33
103,21,F,94.0,86.0,79.0,78.0,0.7,86.33
104,18,M,65.0,52.0,0.0,96.0,5.5,39.0
105,23,M,74.0,70.0,62.0,65.0,1.9,68.67
106,22,F,89.0,97.0,49.0,85.0,3.7,78.33
107,22,M,64.0,77.0,91.0,93.0,1.4,77.33
108,19,F,63.0,66.0,0.0,65.0,0.7,43.0
109,24,F,52.0,62.0,46.0,96.0,2.2,53.33
110,22,M,99.0,77.0,54.0,92.0,3.35,76.67
111,19,M,97.0,0.0,74.0,81.0,2.0,57.0
112,18,F,46.0,78.0,94.0,80.0,1.7,72.67
113,21,F,96.0,50.0,89.0,65.0,1.7,78.33
114,21,M,75.0,65.0,49.0,65.0,3.3,63.0
115,21,F,84.0,76.0,0.0,63.0,5.9,53.33
116,22,M,0.0,90.0,45.0,89.0,3.0,45.0
117,18,F,40.0,76.0,62.0,70.0,3.6,59.33
118,22,M,47.0,89.0,76.0,89.0,5.2,70.67
119,24,M,85.0,77.0,91.0,90.0,3.4,84.33
120,22,M,55.0,59.0,93.0,83.0,1.5,69.0
121,18,F,53.0,90.0,55.0,68.0,2.1,66.0
122,18,F,51.0,80.0,65.0,62.0,2.2,65.33
123,24,M,0.0,73.0,70.0,90.0,2.7,47.67
124,18,F,62.0,65.0,69.0,78.27,2.8,65.33
125,18,M,54.0,64.0,66.0,96.0,4.9,61.33
126,21,M,67.0,73.0,71.0,95.0,2.4,70.33
127,24,F,73.0,78.0,93.0,83.0,3.1,81.33
128,20,F,41.0,53.0,57.0,90.0,3.9,50.33
129,20,M,71.0,90.0,77.0,65.0,2.6,79.33
130,18,F,62.0,96.0,78.0,61.0,3.35,78.67
131,20,F,61.0,54.0,85.0,79.0,3.7,66.67
132,20,M,90.0,64.0,79.0,87.0,2.1,77.67
133,18,M,64.0,66.0,45.0,70.0,4.4,58.33
134,20,F,97.0,76.0,65.0,78.27,3.4,79.33
135,22,M,61.0,0.0,92.0,74.0,3.4,51.0
136,19,M,97.0,0.0,50.0,65.0,3.1,49.0
137,24,F,97.0,58.0,72.0,89.0,3.2,75.67
138,19,M,61.0,90.0,61.0,78.27,4.7,70.67
139,18,M,0.0,61.0,49.0,61.0,1.1,36.67
140,21,F,91.0,89.0,75.0,74.0,2.3,85.0
141,24,F,81.0,0.0,49.0,70.0,0.9,43.33
142,18,M,45.0,63.0,82.0,67.0,4.6,63.33
143,21,M,54.0,54.0,47.0,85.0,2.0,51.67
144,19,F,0.0,60.0,67.0,64.0,5.4,42.33
145,18,F,82.0,90.0,81.0,65.0,3.4,84.33
146,24,F,99.0,77.0,81.0,85.0,4.9,85.67
147,24,F,0.0,53.0,54.0,63.0,3.35,35.67
148,23,M,72.0,82.0,0.0,78.0,5.1,51.33
149,22,F,47.0,60.0,63.0,79.0,3.35,56.67
150,20,F,92.0,53.0,61.0,92.0,2.7,68.67
151,21,M,99.0,50.0,0.0,79.0,3.5,49.67
152,23,F,83.0,0.0,58.0,71.0,1.9,47.0
153,20,M,83.0,69.0,53.0,78.27,1.6,68.33
154,20,F,44.0,55.0,0.0,85.0,3.3,33.0
155,18,F,78.0,72.0,45.0,73.0,3.8,65.0
156,20,F,43.0,93.0,89.0,97.0,2.4,75.0
157,22,M,45.0,60.0,57.0,96.0,3.6,54.0
158,24,M,84.0,88.0,48.0,70.0,5.4,73.33
159,23,F,0.0,57.0,45.0,95.0,3.6,34.0
160,20,M,0.0,94.0,93.0,72.0,4.5,62.33
161,18,M,69.0,46.0,84.0,62.0,4.9,66.33
162,22,M,86.0,76.0,76.0,92.0,5.9,79.33
163,19,M,74.0,53.0,78.0,65.0,3.8,68.33
164,24,M,94.0,66.0,72.0,69.0,4.9,77.33
165,24,M,79.0,93.0,75.0,64.0,5.8,82.33
166,23,F,91.0,62.0,52.0,82.0,5.7,68.33
167,24,F,55.0,77.0,83.0,69.0,1.3,71.67
168,20,M,52.0,94.0,70.0,61.0,2.7,72.0
169,18,F,89.0,64.0,78.0,72.0,2.3,77.0
170,24,F,99.0,57.0,47.0,99.0,1.0,67.67
171,24,F,81.0,80.0,94.0,61.0,4.0,85.0
172,19,F,69.0,86.0,56.0,79.0,4.5,70.33
173,19,M,58.0,94.0,45.0,60.0,5.2,65.67
174,21,F,56.0,83.0,88.0,96.0,1.2,75.67
175,22,F,95.0,80.0,49.0,68.0,5.3,74.67
176,20,M,58.0,55.0,74.0,76.0,4.0,62.33
177,24,M,67.0,72.0,0.0,78.27,4.4,46.33
178,24,F,97.0,46.0,61.0,78.27,5.5,68.0
179,18,F,0.0,76.0,92.0,74.0,3.9,56.0
180,21,F,65.0,0.0,91.0,83.0,2.3,52.0
181,22,F,76.0,70.0,0.0,97.0,5.0,48.67
182,21,F,65.0,84.0,59.0,94.0,3.35,69.33
183,23,F,92.0,52.0,81.0,89.0,0.7,75.0
184,22,M,62.0,59.0,65.0,90.0,5.1,62.0
185,24,F,48.0,88.0,58.0,64.0,3.35,64.67
186,24,F,51.0,53.0,46.0,73.0,4.8,50.0
187,22,M,92.0,50.0,55.0,70.0,2.5,65.67
188,24,M,40.0,51.0,83.0,68.0,5.2,58.0
189,20,M,97.0,85.0,82.0,93.0,1.7,88.0
190,22,M,97.0,58.0,78.0,71.0,5.9,77.67
191,21,F,40.0,0.0,82.0,94.0,4.8,40.67
192,22,F,86.0,48.0,94.0,94.0,1.1,76.0
193,24,F,73.0,87.0,78.0,60.0,3.6,79.33
194,20,F,71.0,54.0,62.0,99.0,5.9,62.33
195,20,F,93.0,81.0,74.0,81.0,3.1,82.67
196,23,F,87.0,83.0,59.0,78.27,1.5,76.33
197,21,M,64.0,50.0,71.0,67.0,3.2,61.67
198,19,F,79.0,91.0,78.0,70.0,3.3,82.67
199,19,M,84.0,68.0,0.0,96.0,4.6,50.67
200,22,M,92.0,43.0,77.0,73.0,4.3,70.67
